LiCl,,,,,,,NaI,,,,,,,
Br Pure,r+50,Br+100,Br+150,Br+200,Br+250 ,,Br Pure,Br+50,Br+100,Br+150,Br+200,Br+250,,
0.475,0.592,0.61,0.605,0.591,0.581,,0.402,0.439,0.445,0.442,0.434,0.43,400,400
0.463,0.576,0.594,0.589,0.575,0.565,,0.391,0.428,0.433,0.43,0.423,0.419,400.5,400.5
0.448,0.558,0.574,0.57,0.556,0.547,,0.378,0.413,0.419,0.416,0.41,0.406,401,
0.434,0.54,0.556,0.551,0.538,0.529,,0.366,0.4,0.405,0.403,0.397,0.393,401.5,
0.419,0.52,0.536,0.531,0.519,0.51,,0.352,0.385,0.391,0.388,0.383,0.38,402,
0.404,0.501,0.516,0.512,0.499,0.491,,0.339,0.371,0.376,0.374,0.369,0.366,402.5,
0.389,0.481,0.496,0.492,0.48,0.472,,0.326,0.356,0.362,0.36,0.355,0.352,403,
0.374,0.462,0.475,0.472,0.46,0.452,,0.312,0.342,0.347,0.346,0.341,0.338,403.5,
0.358,0.442,0.455,0.452,0.44,0.433,,0.298,0.327,0.332,0.331,0.327,0.324,404,
0.342,0.421,0.433,0.431,0.419,0.412,,0.285,0.312,0.316,0.315,0.311,0.309,404.5,
0.327,0.402,0.413,0.41,0.399,0.392,,0.271,0.297,0.301,0.301,0.297,0.295,405,
0.312,0.382,0.393,0.39,0.379,0.373,,0.258,0.282,0.287,0.286,0.283,0.281,405.5,
0.296,0.362,0.372,0.37,0.359,0.353,,0.244,0.267,0.271,0.271,0.268,0.267,406,
0.28,0.342,0.352,0.349,0.339,0.333,,0.23,0.252,0.256,0.256,0.253,0.252,406.5,
0.265,0.323,0.331,0.33,0.32,0.314,,0.217,0.238,0.242,0.242,0.239,0.239,407,
0.251,0.304,0.313,0.311,0.302,0.296,,0.205,0.224,0.228,0.229,0.226,0.225,407.5,
0.238,0.287,0.295,0.293,0.284,0.279,,0.194,0.211,0.215,0.216,0.213,0.212,408,
0.224,0.269,0.276,0.275,0.266,0.261,,0.181,0.198,0.201,0.203,0.2,0.199,408.5,
0.211,0.252,0.259,0.257,0.249,0.244,,0.17,0.186,0.188,0.19,0.187,0.187,409,
0.198,0.236,0.242,0.24,0.232,0.228,,0.159,0.173,0.176,0.178,0.175,0.175,409.5,
0.186,0.221,0.226,0.225,0.216,0.212,,0.149,0.162,0.164,0.166,0.164,0.164,410,
0.175,0.206,0.211,0.21,0.201,0.198,,0.139,0.151,0.153,0.155,0.153,0.153,410.5,
0.163,0.192,0.196,0.195,0.187,0.184,,0.129,0.14,0.142,0.144,0.142,0.143,411,
0.152,0.177,0.181,0.18,0.172,0.17,,0.12,0.129,0.131,0.133,0.131,0.132,411.5,
0.142,0.164,0.167,0.167,0.159,0.156,,0.111,0.119,0.12,0.123,0.121,0.122,412,
0.132,0.151,0.154,0.153,0.146,0.143,,0.102,0.11,0.111,0.113,0.111,0.113,412.5,
0.123,0.139,0.141,0.141,0.134,0.132,,0.094,0.101,0.102,0.104,0.102,0.104,413,
0.114,0.128,0.13,0.13,0.122,0.12,,0.087,0.093,0.093,0.096,0.094,0.095,413.5,
0.106,0.117,0.119,0.119,0.112,0.11,,0.079,0.085,0.085,0.088,0.086,0.087,414,
0.099,0.108,0.109,0.108,0.102,0.1,,0.073,0.077,0.077,0.08,0.078,0.08,414.5,
0.091,0.098,0.099,0.099,0.092,0.091,,0.067,0.07,0.07,0.073,0.071,0.073,415,
0.085,0.09,0.09,0.09,0.083,0.082,,0.061,0.064,0.063,0.066,0.064,0.066,415.5,
0.079,0.081,0.081,0.081,0.075,0.074,,0.056,0.058,0.057,0.06,0.058,0.06,416,
0.073,0.074,0.074,0.074,0.068,0.066,,0.051,0.052,0.051,0.054,0.052,0.054,416.5,
0.068,0.068,0.067,0.067,0.061,0.059,,0.047,0.047,0.046,0.049,0.047,0.049,417,
0.064,0.061,0.06,0.061,0.055,0.053,,0.043,0.043,0.042,0.044,0.042,0.044,417.5,
0.059,0.055,0.054,0.054,0.049,0.047,,0.039,0.038,0.037,0.039,0.038,0.04,418,
0.055,0.05,0.049,0.049,0.043,0.042,,0.035,0.034,0.033,0.035,0.033,0.036,418.5,
0.052,0.046,0.043,0.044,0.038,0.037,,0.032,0.031,0.029,0.031,0.03,0.032,419,
0.048,0.041,0.039,0.039,0.033,0.032,,0.029,0.027,0.025,0.027,0.026,0.028,419.5,
0.045,0.037,0.034,0.035,0.029,0.028,,0.027,0.024,0.022,0.024,0.023,0.025,420,
0.043,0.033,0.03,0.031,0.025,0.025,,0.024,0.022,0.019,0.021,0.02,0.022,420.5,
0.04,0.03,0.027,0.028,0.022,0.021,,0.022,0.019,0.017,0.018,0.017,0.019,421,
0.039,0.027,0.024,0.024,0.019,0.018,,0.02,0.017,0.014,0.016,0.015,0.017,421.5,
0.037,0.025,0.021,0.021,0.016,0.015,,0.018,0.015,0.012,0.013,0.012,0.015,422,
0.035,0.022,0.019,0.019,0.014,0.013,,0.017,0.013,0.01,0.011,0.01,0.013,422.5,
0.034,0.02,0.016,0.016,0.011,0.01,,0.016,0.012,0.008,0.009,0.008,0.011,423,
0.033,0.018,0.014,0.014,0.009,0.008,,0.014,0.01,0.007,0.008,0.007,0.009,423.5,
0.032,0.016,0.012,0.012,0.007,0.007,,0.013,0.009,0.005,0.006,0.005,0.008,424,
0.031,0.015,0.011,0.011,0.006,0.005,,0.012,0.007,0.004,0.005,0.004,0.007,424.5,
0.031,0.013,0.009,0.009,0.004,0.003,,0.012,0.006,0.003,0.004,0.003,0.005,425,
0.03,0.012,0.008,0.008,0.003,0.002,,0.011,0.005,0.002,0.003,0.002,0.004,425.5,
0.03,0.012,0.007,0.007,0.002,0.001,,0.01,0.005,0.001,0.002,0.001,0.003,426,
0.03,0.011,0.006,0.006,0.001,0,,0.01,0.004,0,0.001,0,0.002,426.5,
0.03,0.01,0.005,0.005,0,-0.001,,0.01,0.004,0,0,-0.001,0.002,427,
0.031,0.01,0.004,0.004,-0.001,-0.002,,0.009,0.003,-0.001,0,-0.002,0.001,427.5,
0.031,0.009,0.003,0.003,-0.002,-0.002,,0.009,0.003,-0.001,-0.001,-0.002,0,428,
0.031,0.009,0.003,0.003,-0.003,-0.003,,0.009,0.002,-0.002,-0.001,-0.003,0,428.5,
0.032,0.009,0.002,0.002,-0.003,-0.004,,0.009,0.002,-0.002,-0.002,-0.003,-0.001,429,
0.032,0.008,0.002,0.002,-0.003,-0.004,,0.009,0.002,-0.003,-0.002,-0.004,-0.001,429.5,
0.033,0.008,0.001,0.001,-0.004,-0.005,,0.009,0.002,-0.003,-0.003,-0.004,-0.002,430,
0.033,0.008,0.001,0.001,-0.004,-0.005,,0.009,0.001,-0.003,-0.003,-0.004,-0.002,430.5,
0.034,0.008,0.001,0,-0.005,-0.005,,0.009,0.001,-0.004,-0.003,-0.005,-0.002,431,
0.035,0.008,0.001,0,-0.005,-0.005,,0.009,0.001,-0.004,-0.003,-0.005,-0.003,431.5,
0.036,0.008,0,0,-0.005,-0.006,,0.009,0.001,-0.004,-0.003,-0.005,-0.003,432,
0.037,0.009,0,0,-0.005,-0.006,,0.009,0.001,-0.004,-0.003,-0.005,-0.003,432.5,
0.039,0.009,0,0,-0.005,-0.006,,0.009,0.001,-0.004,-0.003,-0.005,-0.003,433,
0.04,0.009,0,0,-0.006,-0.006,,0.01,0.001,-0.004,-0.003,-0.005,-0.003,433.5,
0.041,0.009,0,0,-0.006,-0.006,,0.01,0.001,-0.004,-0.004,-0.005,-0.004,434,
0.042,0.009,0,-0.001,-0.006,-0.006,,0.01,0.001,-0.004,-0.004,-0.006,-0.004,434.5,
0.044,0.01,0,-0.001,-0.006,-0.006,,0.01,0.001,-0.004,-0.004,-0.006,-0.004,435,
0.045,0.01,0,-0.001,-0.006,-0.007,,0.011,0.001,-0.004,-0.004,-0.006,-0.004,435.5,
0.047,0.01,0,-0.001,-0.006,-0.007,,0.011,0.002,-0.004,-0.004,-0.006,-0.004,436,
0.048,0.011,0,-0.001,-0.006,-0.007,,0.012,0.002,-0.004,-0.004,-0.006,-0.004,436.5,
0.05,0.011,0,-0.001,-0.006,-0.007,,0.012,0.002,-0.004,-0.005,-0.006,-0.004,437,
0.052,0.012,0,-0.001,-0.006,-0.007,,0.013,0.002,-0.004,-0.004,-0.006,-0.004,437.5,
0.054,0.012,0,-0.001,-0.006,-0.007,,0.013,0.002,-0.004,-0.005,-0.006,-0.004,438,
0.056,0.013,0,-0.001,-0.006,-0.007,,0.014,0.002,-0.004,-0.004,-0.006,-0.004,438.5,
0.058,0.013,0,-0.001,-0.006,-0.007,,0.014,0.003,-0.004,-0.005,-0.006,-0.004,439,
0.06,0.014,0.001,-0.001,-0.006,-0.007,,0.015,0.003,-0.004,-0.004,-0.006,-0.004,439.5,
0.062,0.014,0.001,-0.001,-0.006,-0.007,,0.015,0.003,-0.004,-0.005,-0.006,-0.004,440,
0.065,0.015,0.001,-0.001,-0.006,-0.007,,0.016,0.003,-0.004,-0.004,-0.006,-0.005,440.5,
0.067,0.016,0.001,-0.001,-0.006,-0.007,,0.016,0.003,-0.004,-0.004,-0.006,-0.005,441,
0.07,0.017,0.001,-0.001,-0.006,-0.007,,0.017,0.004,-0.004,-0.004,-0.006,-0.005,441.5,
0.072,0.017,0.001,-0.001,-0.006,-0.007,,0.018,0.004,-0.004,-0.004,-0.006,-0.005,442,
0.075,0.018,0.001,-0.001,-0.006,-0.007,,0.018,0.004,-0.004,-0.004,-0.006,-0.005,442.5,
0.078,0.019,0.001,-0.001,-0.006,-0.007,,0.019,0.005,-0.004,-0.004,-0.006,-0.004,443,
0.081,0.019,0.001,-0.001,-0.006,-0.007,,0.02,0.005,-0.004,-0.004,-0.006,-0.004,443.5,
0.084,0.02,0.001,-0.001,-0.006,-0.007,,0.021,0.005,-0.004,-0.004,-0.006,-0.005,444,
0.087,0.021,0.002,-0.001,-0.006,-0.007,,0.022,0.005,-0.004,-0.004,-0.006,-0.005,444.5,
0.09,0.022,0.002,-0.001,-0.006,-0.007,,0.023,0.006,-0.003,-0.004,-0.006,-0.004,445,
0.094,0.023,0.002,0,-0.006,-0.007,,0.024,0.006,-0.003,-0.004,-0.006,-0.004,445.5,
0.097,0.024,0.002,0,-0.006,-0.007,,0.025,0.007,-0.003,-0.004,-0.006,-0.004,446,
0.101,0.024,0.003,0,-0.006,-0.007,,0.026,0.007,-0.003,-0.004,-0.005,-0.004,446.5,
0.104,0.025,0.003,0,-0.006,-0.007,,0.027,0.007,-0.003,-0.004,-0.006,-0.004,447,
0.108,0.026,0.003,0,-0.006,-0.007,,0.028,0.008,-0.003,-0.004,-0.005,-0.004,447.5,
0.112,0.027,0.003,0,-0.006,-0.007,,0.029,0.008,-0.003,-0.004,-0.005,-0.004,448,
0.116,0.028,0.004,0,-0.006,-0.007,,0.03,0.009,-0.003,-0.004,-0.005,-0.004,448.5,
0.121,0.029,0.004,0,-0.006,-0.007,,0.032,0.009,-0.002,-0.004,-0.006,-0.004,449,
0.125,0.03,0.004,0,-0.006,-0.007,,0.033,0.009,-0.002,-0.004,-0.005,-0.004,449.5,
0.129,0.031,0.004,0,-0.006,-0.006,,0.034,0.01,-0.002,-0.004,-0.005,-0.004,450,
0.134,0.032,0.005,0.001,-0.005,-0.006,,0.035,0.01,-0.002,-0.004,-0.005,-0.004,450.5,
0.139,0.033,0.005,0.001,-0.005,-0.006,,0.037,0.011,-0.002,-0.004,-0.005,-0.004,451,
0.144,0.035,0.005,0.001,-0.005,-0.006,,0.038,0.011,-0.002,-0.003,-0.005,-0.004,451.5,
0.149,0.036,0.005,0.001,-0.005,-0.007,,0.04,0.012,-0.002,-0.004,-0.005,-0.004,452,
0.154,0.037,0.006,0.001,-0.005,-0.006,,0.041,0.012,-0.001,-0.003,-0.005,-0.004,452.5,
0.16,0.038,0.006,0.001,-0.005,-0.006,,0.043,0.013,-0.001,-0.003,-0.005,-0.004,453,
0.166,0.04,0.006,0.001,-0.005,-0.006,,0.045,0.013,-0.001,-0.003,-0.005,-0.004,453.5,
0.171,0.041,0.007,0.001,-0.005,-0.006,,0.046,0.014,-0.001,-0.003,-0.005,-0.004,454,
